t, ref_R, ref_th, Rv, thv
0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000050, 0.000000, 0.000000, 0.000000, 0.000000
0.000050, 0.000000, 0.000000, 0.000000, 0.000000
0.000100, 0.000000, 0.000000, 0.000000, 0.000000
0.000100, 0.000000, 0.000000, 0.001926, -0.005166
0.000150, 0.000000, 0.000000, 0.001926, -0.005166
0.000150, 0.000000, 0.000000, 0.001926, -0.005166
0.000200, 0.000000, 0.000000, 0.001926, -0.005166
0.000200, 0.000000, 0.000000, 0.003614, -0.009369
0.000250, 0.000000, 0.000000, 0.003614, -0.009369
0.000250, 0.000000, 0.000000, 0.003614, -0.009369
0.000300, 0.000000, 0.000000, 0.003614, -0.009369
0.000300, 0.000000, 0.000000, 0.005037, -0.012501
0.000350, 0.000000, 0.000000, 0.005037, -0.012501
0.000350, 0.000000, 0.000000, 0.005037, -0.012501
0.000400, 0.000000, 0.000000, 0.005037, -0.012501
0.000400, 0.000000, 0.000000, 0.006184, -0.014524
0.000450, 0.000000, 0.000000, 0.006184, -0.014524
0.000450, 0.000000, 0.000000, 0.006184, -0.014524
0.000500, 0.000000, 0.000000, 0.006184, -0.014524
0.000500, 0.000000, 0.000000, 0.007057, -0.015464
0.000550, 0.000000, 0.000000, 0.007057, -0.015464
0.000550, 0.000000, 0.000000, 0.007057, -0.015464
0.000600, 0.000000, 0.000000, 0.007057, -0.015464
0.000600, 0.000000, 0.000000, 0.007671, -0.015400
0.000650, 0.000000, 0.000000, 0.007671, -0.015400
0.000650, 0.000000, 0.000000, 0.007671, -0.015400
0.000700, 0.000000, 0.000000, 0.007671, -0.015400
0.000700, 0.000000, 0.000000, 0.008047, -0.014451
0.000750, 0.000000, 0.000000, 0.008047, -0.014451
0.000750, 0.000000, 0.000000, 0.008047, -0.014451
0.000800, 0.000000, 0.000000, 0.008047, -0.014451
0.000800, 0.000000, 0.000000, 0.008214, -0.012765
0.000850, 0.000000, 0.000000, 0.008214, -0.012765
0.000850, 0.000000, 0.000000, 0.008214, -0.012765
0.000900, 0.000000, 0.000000, 0.008214, -0.012765
0.000900, 0.000000, 0.000000, 0.008204, -0.010513
0.000950, 0.000000, 0.000000, 0.008204, -0.010513
0.000950, 0.000000, 0.000000, 0.008204, -0.010513
0.001000, 0.000000, 0.000000, 0.008204, -0.010513
0.001000, 0.000000, 0.000000, 0.008141, -0.008086
0.001050, 0.000000, 0.000000, 0.008141, -0.008086
0.001050, 0.000000, 0.000000, 0.008141, -0.008086
0.001100, 0.000000, 0.000000, 0.008141, -0.008086
0.001100, 0.000000, 0.000000, 0.008065, -0.005662
0.001150, 0.000000, 0.000000, 0.008065, -0.005662
0.001150, 0.000000, 0.000000, 0.008065, -0.005662
0.001200, 0.000000, 0.000000, 0.008065, -0.005662
0.001200, 0.000000, 0.000000, 0.007980, -0.003307
0.001250, 0.000000, 0.000000, 0.007980, -0.003307
0.001250, 0.000000, 0.000000, 0.007980, -0.003307
0.001300, 0.000000, 0.000000, 0.007980, -0.003307
0.001300, 0.000000, 0.000000, 0.007887, -0.001084
0.001350, 0.000000, 0.000000, 0.007887, -0.001084
0.001350, 0.000000, 0.000000, 0.007887, -0.001084
0.001400, 0.000000, 0.000000, 0.007887, -0.001084
0.001400, 0.000000, 0.000000, 0.007788, 0.000955
0.001450, 0.000000, 0.000000, 0.007788, 0.000955
0.001450, 0.000000, 0.000000, 0.007788, 0.000955
0.001500, 0.000000, 0.000000, 0.007788, 0.000955
0.001500, 0.000000, 0.000000, 0.007684, 0.002767
0.001550, 0.000000, 0.000000, 0.007684, 0.002767
0.001550, 0.000000, 0.000000, 0.007684, 0.002767
0.001600, 0.000000, 0.000000, 0.007684, 0.002767
0.001600, 0.000000, 0.000000, 0.007578, 0.004320
0.001650, 0.000000, 0.000000, 0.007578, 0.004320
0.001650, 0.000000, 0.000000, 0.007578, 0.004320
0.001700, 0.000000, 0.000000, 0.007578, 0.004320
0.001700, 0.000000, 0.000000, 0.007469, 0.005592
0.001750, 0.000000, 0.000000, 0.007469, 0.005592
0.001750, 0.000000, 0.000000, 0.007469, 0.005592
0.001800, 0.000000, 0.000000, 0.007469, 0.005592
0.001800, 0.000000, 0.000000, 0.007360, 0.006572
0.001850, 0.000000, 0.000000, 0.007360, 0.006572
0.001850, 0.000000, 0.000000, 0.007360, 0.006572
