t, r_ref, qr_ref, r_act, qr_act, tau[0], tau[1]
0.000000, 0.353600, 1.570796, 0.353553, 1.570796, 0.863387, -0.863387
0.002500, 0.353600, 1.570796, 0.353565, 1.570789, 0.209250, -0.085889
0.005000, 0.353600, 1.570796, 0.353577, 1.570792, -0.056616, 0.169672
0.007500, 0.353600, 1.570796, 0.353584, 1.570795, -0.223138, -0.043224
0.010000, 0.353600, 1.570796, 0.353588, 1.570795, -0.040565, 0.073814
0.012500, 0.353600, 1.570796, 0.353580, 1.570793, 0.217739, -0.095233
0.015000, 0.353600, 1.570796, 0.353479, 1.570799, 1.293065, -1.686653
0.017500, 0.353600, 1.570796, 0.353285, 1.570809, 2.669989, -3.442202
0.020000, 0.353600, 1.570796, 0.353014, 1.570821, 4.051960, -4.978955
0.022500, 0.353600, 1.570796, 0.352680, 1.570833, 5.326514, -6.372686
0.025000, 0.353600, 1.570796, 0.352293, 1.570846, 6.472784, -7.664141
0.027500, 0.353600, 1.570796, 0.351862, 1.570860, 7.510652, -8.846225
0.030000, 0.353600, 1.570796, 0.351397, 1.570874, 8.457896, -9.914739
0.032500, 0.353600, 1.570796, 0.350906, 1.570889, 9.321737, -10.883834
0.035000, 0.353600, 1.570796, 0.350393, 1.570904, 10.109362, -11.772337
0.037500, 0.353600, 1.570796, 0.349866, 1.570920, 10.835419, -12.587738
0.040000, 0.353600, 1.570796, 0.349327, 1.570935, 11.508372, -13.340094
0.042500, 0.353600, 1.570796, 0.348780, 1.570951, 12.133533, -14.039120
0.045000, 0.353600, 1.570796, 0.348230, 1.570966, 12.709764, -14.700406
0.047500, 0.353600, 1.570796, 0.347677, 1.570981, 13.248845, -15.319153
0.050000, 0.353600, 1.570796, 0.347124, 1.570997, 13.757994, -15.893963
0.052500, 0.353600, 1.570796, 0.346574, 1.571012, 14.237259, -16.431076
0.055000, 0.353600, 1.570796, 0.346028, 1.571026, 14.687049, -16.935205
0.057500, 0.353600, 1.570796, 0.345487, 1.571040, 15.109142, -17.408521
0.060000, 0.353600, 1.570796, 0.344953, 1.571054, 15.505359, -17.852448
0.062500, 0.353600, 1.570796, 0.344427, 1.571068, 15.877008, -18.268492
0.065000, 0.353600, 1.570796, 0.343910, 1.571081, 16.225080, -18.658132
0.067500, 0.353600, 1.570796, 0.343403, 1.571094, 16.550471, -19.022637
0.070000, 0.353600, 1.570796, 0.342906, 1.571107, 16.854041, -19.363073
0.072500, 0.353600, 1.570796, 0.342421, 1.571119, 17.136590, -19.680381
0.075000, 0.353600, 1.570796, 0.341947, 1.571131, 17.398856, -19.975420
0.077500, 0.353600, 1.570796, 0.341486, 1.571142, 17.641528, -20.248985
0.080000, 0.353600, 1.570796, 0.341037, 1.571153, 17.865264, -20.501813
0.082500, 0.353600, 1.570796, 0.340602, 1.571164, 18.070694, -20.734596
0.085000, 0.353600, 1.570796, 0.340180, 1.571174, 18.258431, -20.947992
0.087500, 0.353600, 1.570796, 0.339772, 1.571184, 18.429070, -21.142635
0.090000, 0.353600, 1.570796, 0.339379, 1.571193, 18.583199, -21.319143
0.092500, 0.353600, 1.570796, 0.339000, 1.571202, 18.721397, -21.478120
0.095000, 0.353600, 1.570796, 0.338635, 1.571211, 18.844241, -21.620167
0.097500, 0.353600, 1.570796, 0.338284, 1.571220, 18.952302, -21.745878
