t, r_ref, qr_ref, r_act, qr_act, tau[0], tau[1]
0.000000, 0.353600, 1.570796, 0.353553, 1.570796, 0.863387, -0.863387
0.002500, 0.353600, 1.570796, 0.353565, 1.570790, 0.174880, -0.118075
0.005000, 0.353600, 1.570796, 0.353577, 1.570792, -0.012565, 0.218502
0.007500, 0.353600, 1.570796, 0.353584, 1.570796, -0.269049, -0.094497
0.010000, 0.353600, 1.570796, 0.353588, 1.570794, 0.015099, 0.128204
0.012500, 0.353600, 1.570796, 0.353584, 1.570793, 0.131649, -0.060157
0.015000, 0.353600, 1.570796, 0.353493, 1.570801, 1.076575, -1.585057
0.017500, 0.353600, 1.570796, 0.353309, 1.570812, 2.441503, -3.317790
0.020000, 0.353600, 1.570796, 0.353047, 1.570824, 3.854577, -4.867012
0.022500, 0.353600, 1.570796, 0.352717, 1.570837, 5.171473, -6.287406
0.025000, 0.353600, 1.570796, 0.352332, 1.570850, 6.363252, -7.612535
0.027500, 0.353600, 1.570796, 0.351901, 1.570865, 7.450952, -8.836278
0.030000, 0.353600, 1.570796, 0.351432, 1.570879, 8.453262, -9.955014
0.032500, 0.353600, 1.570796, 0.350933, 1.570895, 9.376575, -10.981222
0.035000, 0.353600, 1.570796, 0.350410, 1.570910, 10.226957, -11.931375
0.037500, 0.353600, 1.570796, 0.349868, 1.570926, 11.019729, -12.813812
0.040000, 0.353600, 1.570796, 0.349311, 1.570941, 11.762994, -13.638279
0.042500, 0.353600, 1.570796, 0.348743, 1.570957, 12.461747, -14.413956
0.045000, 0.353600, 1.570796, 0.348166, 1.570972, 13.120760, -15.156368
0.047500, 0.353600, 1.570796, 0.347584, 1.570988, 13.747489, -15.860391
0.050000, 0.353600, 1.570796, 0.346998, 1.571003, 14.345247, -16.524489
0.052500, 0.353600, 1.570796, 0.346411, 1.571018, 14.913067, -17.154252
0.055000, 0.353600, 1.570796, 0.345824, 1.571033, 15.451322, -17.753930
0.057500, 0.353600, 1.570796, 0.345239, 1.571048, 15.962123, -18.325515
0.060000, 0.353600, 1.570796, 0.344657, 1.571062, 16.447582, -18.870259
0.062500, 0.353600, 1.570796, 0.344080, 1.571077, 16.909132, -19.389395
0.065000, 0.353600, 1.570796, 0.343508, 1.571091, 17.347764, -19.884074
0.067500, 0.353600, 1.570796, 0.342943, 1.571104, 17.764316, -20.355237
0.070000, 0.353600, 1.570796, 0.342385, 1.571118, 18.159549, -20.803635
0.072500, 0.353600, 1.570796, 0.341836, 1.571131, 18.534135, -21.229912
0.075000, 0.353600, 1.570796, 0.341296, 1.571145, 18.888666, -21.634649
0.077500, 0.353600, 1.570796, 0.340765, 1.571157, 19.223681, -22.018387
0.080000, 0.353600, 1.570796, 0.340245, 1.571170, 19.539685, -22.381634
0.082500, 0.353600, 1.570796, 0.339735, 1.571182, 19.837165, -22.724881
0.085000, 0.353600, 1.570796, 0.339237, 1.571194, 20.116595, -23.048608
0.087500, 0.353600, 1.570796, 0.338751, 1.571206, 20.378441, -23.353291
0.090000, 0.353600, 1.570796, 0.338276, 1.571218, 20.623162, -23.639403
0.092500, 0.353600, 1.570796, 0.337814, 1.571229, 20.851217, -23.907418
0.095000, 0.353600, 1.570796, 0.337365, 1.571240, 21.063063, -24.157809
0.097500, 0.353600, 1.570796, 0.336929, 1.571251, 21.259153, -24.391049
0.100000, 0.353600, 1.570796, 0.336506, 1.571262, 21.439944, -24.607609
0.102500, 0.353600, 1.570796, 0.336096, 1.571272, 21.605888, -24.807960
0.105000, 0.353600, 1.570796, 0.335700, 1.571282, 21.757440, -24.992572
0.107500, 0.353600, 1.570796, 0.335318, 1.571292, 21.895055, -25.161911
0.110000, 0.353600, 1.570796, 0.334949, 1.571301, 22.019189, -25.316444
0.112500, 0.353600, 1.570796, 0.334595, 1.571311, 22.130298, -25.456634
0.115000, 0.353600, 1.570796, 0.334254, 1.571320, 22.228840, -25.582942
