t, r_ref, qr_ref, r_act, qr_act, tau[0], tau[1]
0.000000, 0.353600, 1.570796, 0.353553, 1.570796, 0.863387, -0.863387
0.002500, 0.353600, 1.570796, 0.353565, 1.570790, 0.174880, -0.118075
0.005000, 0.353600, 1.570796, 0.353577, 1.570792, -0.012565, 0.218502
0.007500, 0.353600, 1.570796, 0.353584, 1.570796, -0.269049, -0.094497
0.010000, 0.353600, 1.570796, 0.353588, 1.570794, 0.015099, 0.128204
0.012500, 0.353600, 1.570796, 0.353586, 1.570793, 0.087333, -0.020538
0.015000, 0.353600, 1.570796, 0.353502, 1.570801, 0.977799, -1.503375
0.017500, 0.353600, 1.570796, 0.353322, 1.570813, 2.350664, -3.248833
0.020000, 0.353600, 1.570796, 0.353062, 1.570825, 3.779119, -4.817316
0.022500, 0.353600, 1.570796, 0.352735, 1.570838, 5.109400, -6.255215
0.025000, 0.353600, 1.570796, 0.352351, 1.570852, 6.311884, -7.595156
0.027500, 0.353600, 1.570796, 0.351920, 1.570867, 7.407864, -8.830884
0.030000, 0.353600, 1.570796, 0.351451, 1.570882, 8.416486, -9.958973
0.032500, 0.353600, 1.570796, 0.350951, 1.570897, 9.347388, -10.995508
0.035000, 0.353600, 1.570796, 0.350426, 1.570913, 10.209255, -11.960353
0.037500, 0.353600, 1.570796, 0.349882, 1.570929, 11.012772, -12.856645
0.040000, 0.353600, 1.570796, 0.349322, 1.570945, 11.765330, -13.693138
0.042500, 0.353600, 1.570796, 0.348751, 1.570961, 12.471837, -14.478982
0.045000, 0.353600, 1.570796, 0.348172, 1.570977, 13.127639, -15.225935
0.047500, 0.353600, 1.570796, 0.347587, 1.570993, 13.746857, -15.931613
0.050000, 0.353600, 1.570796, 0.346999, 1.571009, 14.338431, -16.596413
0.052500, 0.353600, 1.570796, 0.346409, 1.571025, 14.902011, -17.226137
0.055000, 0.353600, 1.570796, 0.345821, 1.571041, 15.437599, -17.825062
0.057500, 0.353600, 1.570796, 0.345234, 1.571056, 15.946862, -18.395242
0.060000, 0.353600, 1.570796, 0.344651, 1.571071, 16.431547, -18.938029
0.062500, 0.353600, 1.570796, 0.344073, 1.571086, 16.892816, -19.454784
0.065000, 0.353600, 1.570796, 0.343500, 1.571100, 17.331472, -19.946795
0.067500, 0.353600, 1.570796, 0.342934, 1.571114, 17.748228, -20.415143
0.070000, 0.353600, 1.570796, 0.342376, 1.571128, 18.143767, -20.860711
0.072500, 0.353600, 1.570796, 0.341826, 1.571142, 18.518714, -21.284254
0.075000, 0.353600, 1.570796, 0.341285, 1.571155, 18.873633, -21.686445
0.077500, 0.353600, 1.570796, 0.340754, 1.571168, 19.209043, -22.067890
0.080000, 0.353600, 1.570796, 0.340233, 1.571181, 19.525434, -22.429137
0.082500, 0.353600, 1.570796, 0.339723, 1.571193, 19.823275, -22.770692
0.085000, 0.353600, 1.570796, 0.339225, 1.571205, 20.103024, -23.093027
0.087500, 0.353600, 1.570796, 0.338738, 1.571217, 20.365128, -23.396594
0.090000, 0.353600, 1.570796, 0.338263, 1.571229, 20.610029, -23.681830
0.092500, 0.353600, 1.570796, 0.337801, 1.571240, 20.838173, -23.949165
0.095000, 0.353600, 1.570796, 0.337352, 1.571251, 21.050004, -24.199025
0.097500, 0.353600, 1.570796, 0.336916, 1.571262, 21.245974, -24.431836
0.100000, 0.353600, 1.570796, 0.336493, 1.571272, 21.426539, -24.648029
0.102500, 0.353600, 1.570796, 0.336083, 1.571283, 21.592162, -24.848038
0.105000, 0.353600, 1.570796, 0.335687, 1.571293, 21.743308, -25.032305
0.107500, 0.353600, 1.570796, 0.335305, 1.571303, 21.880449, -25.201277
0.110000, 0.353600, 1.570796, 0.334936, 1.571312, 22.004059, -25.355406
0.112500, 0.353600, 1.570796, 0.334581, 1.571321, 22.114614, -25.495148
0.115000, 0.353600, 1.570796, 0.334240, 1.571330, 22.212589, -25.620964
