t,touch_FL, touch_FR, touch_RL, touch_RR
0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
0.002500, 0.000000, 0.000000, 0.000000, 0.000000 
0.005000, 0.000000, 0.000000, 0.000000, 0.000000 
0.007500, 0.000000, 0.000000, 0.000000, 0.000000 
0.010000, 0.000000, 0.000000, 0.000000, 0.000000 
0.012500, 16.262460, 15.522263, 14.813994, 14.614590 
0.015000, 25.359314, 24.223171, 23.034622, 22.589170 
0.017500, 35.292067, 34.237576, 33.023203, 32.649983 
0.020000, 44.455688, 43.549040, 42.501819, 42.253239 
0.022500, 52.679931, 51.895909, 51.083996, 50.943411 
0.025000, 60.029026, 59.335440, 58.802763, 58.748028 
0.027500, 66.569278, 65.937181, 65.727147, 65.737764 
0.030000, 72.379875, 71.791450, 71.950874, 72.014587 
0.032500, 77.579831, 77.016702, 77.569870, 78.227047 
0.035000, 82.250790, 81.703213, 82.681668, 83.449560 
0.037500, 86.465778, 85.927176, 87.356932, 88.226972 
0.040000, 90.285626, 89.752141, 91.655811, 92.615213 
0.042500, 93.760265, 93.235087, 96.401128, 96.648750 
0.045000, 96.931396, 96.415475, 100.133214, 100.380465 
0.047500, 99.828778, 99.322977, 103.613391, 103.840978 
0.050000, 102.479376, 101.981108, 106.850703, 107.059969 
0.052500, 104.906905, 104.412748, 109.864226, 110.058590 
0.055000, 107.130430, 106.636837, 112.672558, 112.854354 
0.057500, 109.165185, 108.668799, 115.291579, 115.462048 
0.060000, 111.023901, 110.521775, 117.734385, 117.894079 
0.062500, 112.717553, 112.207314, 120.011829, 120.160983 
0.065000, 114.255701, 113.735643, 122.133090, 122.271899 
0.067500, 115.646749, 115.115857, 124.106082, 124.234874 
0.070000, 116.898219, 116.356131, 125.937755, 126.057073 
0.072500, 118.016973, 117.463893, 127.634326, 127.744937 
0.075000, 119.009389, 118.445964, 129.201463, 129.304317 
0.077500, 119.881470, 119.308655, 130.644428, 130.740583 
0.080000, 120.638935, 120.057856, 131.968180, 132.058717 
0.082500, 121.287272, 120.699102, 133.177448, 133.263386 
0.085000, 121.831785, 121.237640, 134.276776, 134.359003 
0.087500, 122.277611, 121.678477, 135.270559, 135.349784 
0.090000, 122.629736, 122.026425, 136.163060, 136.239788 
0.092500, 122.893005, 122.286134, 136.958423, 137.032952 
0.095000, 123.072124, 122.462122, 137.660682, 137.733122 
0.097500, 123.171660, 122.558791, 138.273761, 138.344068 
0.100000, 123.196047, 122.580445, 138.801488, 138.869499 
0.102500, 123.149588, 122.531297, 139.247587, 139.313068 
0.105000, 123.036459, 122.415470, 139.615694, 139.678381 
0.107500, 122.860712, 122.237002, 139.909356, 139.968988 
0.110000, 122.626283, 121.999840, 140.132036, 140.188387 
0.112500, 122.336995, 121.707841, 140.287122, 140.340014 
0.115000, 121.996566, 121.364763, 140.377929, 140.427243 
0.117500, 121.608611, 120.974266, 140.407701, 140.453379 
0.120000, 121.176645, 120.539906, 140.379619, 140.421652 
0.122500, 120.704087, 120.065131, 140.296796, 140.335220 
0.125000, 120.194262, 119.553286, 140.162281, 140.197160 
